"","Genotype","SERPINF1","ITM2A","ITM2A-2","GYPC","FECH","PPP1R26","FZD6","MEIS1","PBX3","CDKN2C","PROM1","ASB9","SPIB","CTSE","GPA33","HOXA4","ARHGAP22","TRH","HPGDS","HOXA7","GNG7","POU4F1","MAN1A1","HOXA6","ADCY3","SPON1","CD34","LDLRAD4","CD200","SMAGP","S100B","HGF","CSRP2","CDKN2C-2","GALC","SPRY1","HOXA5","ATP10A","HOXA1","APP","POLE","HOMER2","TESC","BAALC","LAMP5","MREG","SIDT1","NPR3","ITM2C","MANIA1-2"
"GSM856246","mutated",4050.56570612574,1412.21313272476,945.817032577087,25716.4003381014,36167.4529535446,12538.9386243089,6965.39031746843,7401.22891110418,9874.57293471508,15355.1226237806,6227.22101061425,14776.4695753245,6294.19467481449,6610.41827263224,9310.41410311142,12794.4307884481,6504.08634840761,827.393260452929,1473.56210123685,15353.4592379786,6550.74018974221,4958.6047025058,5635.79095955925,24456.2423472011,9901.13232753822,7225.34428456741,1314.03333440794,8671.62864691344,5778.87552320977,10924.3271981569,5834.46404341927,4989.401822336,4486.6410793455,12283.579020852,8651.43779453149,6923.97918041199,15952.8065107959,7978.27001102411,19896.1103379859,9370.33370803483,8541.48651021632,6906.45389942022,19600.7788843425,3217.4111994509,11885.3021549519,6753.38465622511,4684.10939785296,3166.97835589902,3803.96707242315,7269.26073713787
"GSM856247","mutated",12911.4642451759,2730.11541443495,2426.73762782213,13976.3045315769,17050.7442702177,6280.69486150478,6019.63089821584,24445.5527520287,9778.62566733323,13818.1938371753,13333.5296208356,10353.2146623905,8171.10432125709,13310.5946208513,4878.07940533889,12626.4194221139,9015.73822908886,287.915405219121,2335.75269238607,20919.4093242508,17681.6330512402,2622.80604923281,7368.66500226485,52903.6238047613,6909.60413427042,11840.1329418436,2381.76601437828,5880.51475810346,11076.9636864135,4164.66239651637,909.090909090909,4617.77741074132,4252.7403595692,15004.2315949527,3608.59875141647,13602.3751924346,19600.8524990495,3807.29409357988,24387.8914807721,18795.1948727413,8687.26828153111,12876.9015466822,14303.8506738036,4297.03140193331,10724.8474563582,17170.1619325723,8785.09497270789,2841.0338681751,3004.17615377879,4897.82305857909
"GSM856248","mutated",8421.51514041961,1752.09964125132,2054.47200476572,3983.03818993923,4663.6749409849,15536.1603008447,7821.68600787281,12050.7976129348,12401.1843091037,6095.77592475423,10860.3070917974,11267.9997417077,4766.4775207333,8479.4981995586,1293.28746138972,13466.4762537848,6608.92051386214,437.689580661391,1951.68597451051,20397.0663161545,9843.18220618004,4247.70946020532,6267.84228212664,12562.2739211306,12813.6525733248,10178.3598973743,1623.52106773268,6867.7026220846,2517.06323767865,12721.8410592673,2713.70420624152,5051.33922426845,2945.02269900167,4279.40958492118,11921.3384012611,7231.87449600469,16871.7197164857,22855.129618475,11877.0409358337,7554.14995889469,8458.65595833292,5198.01530324785,17123.8752069448,950.923754504376,2052.63223568461,9269.976108309,6213.61450735596,6333.95671179804,4303.4087923636,3245.04757632281
"GSM856249","mutated",8339.13075317638,15028.4953499851,14071.9119480981,3224.56291715097,7268.35918839852,19734.5157578649,16691.375696539,16976.760755429,27057.1294016808,2197.9734260055,1571.00104523095,29714.3718117049,8005.23788738542,13416.1923568359,8757.94178950805,18419.1591396357,20910.0479179498,549.656682691049,2474.22572672216,18667.3402893438,9296.88071604517,4296.27994259852,8890.85527078132,26269.5467673643,9247.52112564778,24426.9409340736,2697.70140881395,9097.75290474702,12057.3928127003,4797.58981240031,22686.5671641791,5436.72750295923,2679.22642652859,2620.24184640984,13602.2847489661,7895.31559269848,16197.3241878464,5296.11656002455,1928.98576684073,18451.2524537355,10264.3619893911,15394.122244234,3805.4247407293,4111.1365326317,3443.9300732459,2835.1473320945,15199.4570256861,3647.80426686763,6992.1840791663,7137.92411399429
"GSM856250","mutated",8188.09270989711,2922.41156520493,3307.87181216463,3951.33075279297,7336.35295389325,10327.5054022956,13892.4390368591,6135.95658273284,11841.4919160429,19496.0951148801,5554.23528842696,12441.0770787146,8363.16019205587,5892.35366793736,1782.97883026544,12308.6587944819,13755.1161256787,756.141468252237,1575.45735291812,15002.3762325368,9160.30534351145,1717.62887735953,7184.31669984936,14020.3950012618,12960.8946572671,8539.04324539784,10949.4180985847,9587.79580125565,7155.24718126626,18519.4561887643,8833.10719131614,3613.01511272607,5156.44768597765,15558.8813288643,7534.98835463787,8096.91371600323,12466.4576960756,18877.3596699587,21122.394146906,7344.42897169606,13090.5404196527,8087.82101379473,9210.65047136227,4797.51758851456,836.026503287955,3907.61879479692,10639.6199179803,10642.8966062475,7881.60084070409,4763.53505064576
"GSM856251","mutated",8586.28391490608,2398.80261963699,2344.86633040632,6191.29430592837,6522.17119784094,10276.9904302192,7463.83109247993,11354.2836224624,20028.9920659605,15194.5832113549,2347.03770612817,9933.48974364493,10580.5325185509,11040.2432971837,6504.10587378519,13294.8124664434,2917.88427181752,905.915643694507,1416.08272849357,16398.1452541712,7731.14162378363,3029.03190197594,8722.30825143002,12020.1519810818,8382.02497369395,14400.1616860259,2168.99319771753,10326.4111815005,6052.2644141936,6076.10319248589,6431.4789687924,3757.53571723511,9324.13323835547,9735.05912279276,16232.4221935095,8800.67443735797,21486.004912439,5489.32252895248,3348.16815244499,10980.9908897203,5301.15532053767,5397.93896875738,6229.78803709136,4461.47686323857,3113.26287418425,5808.33554552694,6567.31256392853,5000.12714146684,2178.38689902794,7930.37093004037
"GSM856252","mutated",5592.9845117352,2085.86206854317,4249.16556864139,3949.66194031158,5827.41438887552,13874.7789969972,4294.25898471448,4147.14502969091,9354.85856973008,9797.62590539507,6822.39275867363,14313.695946964,7088.60759493671,7228.1650281418,17107.8074382863,11377.2914376294,4197.73470840814,242.837740765622,3354.70520919879,15623.1937421595,12043.0212423481,4216.80097140965,6425.85511276849,8701.99183078318,8461.03292117521,6080.06826743318,2276.024372159,8515.38308570779,6137.10924242995,13924.4031494468,1818.18181818182,6269.44146227324,5241.50249316904,15195.4901238877,7923.86400224126,4255.55311194194,10971.7447992668,3557.26283967314,20075.2304449068,2302.73643944097,7686.67521477962,6424.81961432907,15708.5016770032,2009.09454899045,4011.67941503101,6827.71436156092,2284.69825732012,4006.11203706058,3251.84451353008,4534.80272944065
"GSM856253","mutated",1684.30302808392,1847.63530851284,1470.5170602143,6061.96133862124,4133.67225610288,17994.5556085651,7016.51244823884,5091.79980689242,12513.1227877159,7533.54801544956,3869.6679025769,11031.2318388256,8537.75643823658,8738.21265272073,4620.6775319555,10792.9040764671,6469.14162658944,2428.37740765622,300.460357521698,15045.1912332005,7740.89700753603,3051.10939397284,5688.46190310653,9594.62364586352,8744.74327803974,7539.733779467,1515.20036106902,17584.7277065992,11086.3908895509,12316.7675131016,1777.4762550882,5051.33922426845,5645.51282732811,11351.1936922937,17373.9603848614,6385.16237812477,9244.34572590988,9023.8552546341,24070.9866762197,10058.2185460463,3664.42361532166,19301.7211610112,11741.16678247,9780.93004633072,1809.31108920528,8675.33846562251,7915.18894167806,973.210137104735,2315.22024695683,8330.2835690506
"GSM856254","mutated",4686.75625205961,6785.48200806174,8657.55045601408,4756.11557193959,6720.05048972945,11820.5034658884,9150.86140790348,11219.1574514713,13560.547123301,14103.8595563446,3688.80298973907,7479.71329559397,4295.06765604539,9915.62740894835,1362.34650059014,12637.3766851357,15463.0394045419,340.263660713507,1436.98431858204,14796.8642293514,8389.63002707119,4013.68804503808,10418.3126336525,15469.1691513922,12630.4977859818,9285.71829578437,2860.18246880944,6754.06948666231,7513.48090048644,4139.34529988101,5658.07327001357,4390.67360365568,5815.62244171088,18332.1299984221,14480.3910500061,6894.65581702221,13511.5735737915,2375.29691211401,1295.17615773592,12939.7849101555,9502.32091206377,5125.31578851711,9580.57764396064,1251.21546645313,2888.65873897256,1582.16087071941,6357.00561137187,16886.6984597389,4163.15461073649,6866.3967133379
"GSM856255","mutated",1679.72611768152,7998.05009253487,5812.40978891227,3383.93450912298,5822.18409922208,12095.5294249712,3757.47661162517,13660.0274674653,10866.0280309942,5170.31342959402,35521.0276491978,4778.40676725715,12178.0881711043,5380.20464841234,6196.47924461967,10953.6106007867,45297.0956568079,1270.89931394703,1484.01289628108,18170.6862816456,13169.7680657513,4150.56849541892,6731.34658534273,15782.2913064204,22481.3523287593,7051.30724274799,4736.45185209065,8245.50438907986,7720.87936950865,6190.030127345,976.933514246947,4507.66647397253,1499.09097674814,9730.27765956938,5557.15844800984,3998.97368228136,14868.2522980718,14945.0499494255,5084.25534260165,5414.99588946865,14501.9730237459,6088.58435869941,7758.82035049795,5626.89469770634,1559.75093897007,1996.28351473321,5114.28270990068,22487.8579899165,4201.46794815658,10951.1132623427
"GSM856256","mutated",6970.63454285819,1019.65952557967,1181.02738979377,2562.87876828288,6604.11240241151,12460.3597788567,3591.32968662134,15465.8044798011,10762.0851579972,16068.1064848479,5333.41184833425,13635.6787705289,7385.42121344391,6409.78257426161,16969.6893598855,23032.166871811,9325.87263522515,741.600286170463,2210.34315185528,13794.9932138224,9462.72223983611,4049.01203223314,4434.8934466812,12679.1105461411,10558.3347997687,6456.21284168805,1548.72819884587,5773.98369364507,6712.16863380972,11886.3768703005,2713.70420624152,4879.29088556721,4167.68555237781,14052.7204135009,11097.5910617141,7646.06700388535,18421.6462823059,18559.1380740774,34611.516045028,6916.59815781085,9823.70345337137,4834.51772959415,9832.55702239721,3875.19304467197,5727.40544789808,7560.39288558535,5793.00060224264,3203.96496443506,6776.6715561783,2198.78166835879
"GSM856257","mutated",4435.0261799275,2955.48160387238,3615.90691459648,3152.80398045153,7794.87501351158,9872.87065360761,5623.43438474516,25673.9724883116,14951.7825003378,3137.60116343857,1831.78301257852,2916.55007641146,4626.80052378874,6330.5842722732,11250.345295196,19792.4694383672,5875.08135568048,1166.20280295826,582.631823715989,16813.4507606085,8340.85310830915,2556.57357324208,9875.80191511551,13543.7015712189,10177.6601437226,9117.29535208816,3788.64566878365,10425.840174995,1564.91572080395,1936.75789260488,15603.7991858887,3950.2298565805,5613.61727463134,6627.10802759861,16014.9863475377,8129.90249981673,25930.7052678573,9239.79133755356,55940.5872383813,5310.13539586934,5900.84851617349,12031.7696879373,9081.9801504585,2466.68191957902,867.221522067356,6721.52906822405,7379.86215335201,7233.19363183068,8018.43418863298,5367.09324014828
